Date,x1,x2,x3
2025/1/1,102.9759828,101.2342299,101.3909646
2025/1/2,102.5537692,102.0567106,103.5898632
2025/1/3,102.3625508,100.6058153,99.20493343
2025/1/4,104.5227066,100.4799067,101.7985726
2025/1/5,103.682209,100.6374302,101.5996044
2025/1/6,103.3013068,99.94723392,98.83386959
2025/1/7,101.4365656,100.1169633,99.41442049
2025/1/8,100.9628755,100.4246838,99.92667445
2025/1/9,97.7061863,100.3528216,101.9973014
2025/1/10,97.01425312,99.8704124,100.7240594
2025/1/11,98.19698597,101.1374747,103.5253001
2025/1/12,97.15754819,99.91297788,100.9690364
2025/1/13,96.71294988,99.84643885,100.3213303
2025/1/14,100.1299193,101.8081303,101.6451285
2025/1/15,99.67634509,100.3342943,100.3414163
2025/1/16,98.30498272,100.0551375,98.51425851
2025/1/17,97.07683805,98.79394064,96.01453048
2025/1/18,95.16647652,97.43519317,96.37990877
2025/1/19,96.22239484,98.5968844,96.95748368
2025/1/20,96.82403538,98.36162897,96.6860037
2025/1/21,101.8337994,98.78849754,99.15525193
2025/1/22,104.6109733,99.16678384,97.7842048
2025/1/23,105.3342756,97.73860081,96.70646279
2025/1/24,105.0174407,96.24495904,97.68328126
2025/1/25,107.5161905,97.71918326,100.5056872
2025/1/26,102.7903116,95.78855781,97.31226986
2025/1/27,102.0402337,95.72622159,96.77187783
2025/1/28,102.4586981,96.20953882,96.94800063
2025/1/29,100.7488818,95.76425983,93.86562085
2025/1/30,100.4638297,95.59771751,93.3143251
2025/1/31,101.1598637,95.59235357,92.61694279
2025/2/1,99.64944828,95.55071286,91.92445118
2025/2/2,101.0092681,96.67521909,92.30705084
2025/2/3,99.28443982,95.21920225,89.53104681
2025/2/4,99.51923797,95.48645976,89.11251214
2025/2/5,100.5883581,96.37544285,90.86907556
2025/2/6,100.8922307,95.98295456,91.30667355
2025/2/7,99.87772961,95.2279701,91.44779439
2025/2/8,98.81358884,95.40085497,91.90559088
2025/2/9,101.465795,95.56345691,92.02884931
2025/2/10,101.7655042,96.16172064,92.23805609
2025/2/11,103.9477518,98.7795196,94.30397196
2025/2/12,104.2531317,97.34257386,93.38573997
2025/2/13,103.028701,96.33189709,92.65130689
2025/2/14,104.5020223,96.8654652,94.03630101
2025/2/15,103.8171811,96.54983756,94.19068949
2025/2/16,102.2179323,96.60272687,93.12906003
2025/2/17,100.5829193,95.14330333,92.45008308
2025/2/18,98.95810141,95.02916904,92.47633729
2025/2/19,96.75182151,94.53497433,91.60745213
2025/2/20,97.01064986,94.64561242,92.94800255
2025/2/21,96.20143016,93.81495103,92.16006763
2025/2/22,96.4084207,94.34901425,93.62604435
2025/2/23,97.21856276,94.34348772,93.16622537
2025/2/24,96.62763436,95.47826899,93.93260162
2025/2/25,104.0559293,96.65263154,97.11879562
2025/2/26,103.9527145,97.23360808,98.34037157
2025/2/27,106.7835187,97.48586458,100.2342851
2025/2/28,105.7275077,96.8866336,100.3441298
2025/3/1,105.6649495,96.2587872,97.38610542
2025/3/2,106.9445266,97.08634188,98.96471766
2025/3/3,105.2911593,96.65719249,93.46651386
2025/3/4,105.4505536,98.67627415,97.78065947
2025/3/5,106.8964484,98.49656352,97.82000317
2025/3/6,108.3420391,97.74032803,98.52768442
2025/3/7,108.883938,97.98998557,100.7168985
2025/3/8,109.3567337,98.42961137,99.76181489
2025/3/9,111.4118735,99.7379166,97.83145905
2025/3/10,112.8950127,99.93335587,97.62534449
2025/3/11,114.0450175,100.3056784,97.76263708
2025/3/12,115.2256242,102.0362388,97.52691751
2025/3/13,119.6229955,101.9331431,100.4574928
2025/3/14,121.176138,102.8211213,101.7186763
2025/3/15,121.3966738,102.4559947,104.4720524
2025/3/16,122.137706,103.6413458,106.1085354
2025/3/17,123.7506899,103.5013977,108.3067775
2025/3/18,122.9714982,102.510846,106.3008788
2025/3/19,122.3238418,101.1725199,105.030916
2025/3/20,119.3347422,101.7855977,105.0427834
2025/3/21,118.5518641,100.8137747,105.5404093
2025/3/22,120.2144064,100.5923176,105.3072022
2025/3/23,122.4909584,101.8777999,107.3639904
2025/3/24,120.6192706,101.0831652,104.7797428
2025/3/25,120.2993154,102.4659493,104.3584495
2025/3/26,121.4442939,103.7026049,104.5784925
2025/3/27,122.002998,103.3711832,103.8589972
2025/3/28,118.22045,102.7261065,104.2851935
2025/3/29,115.1310007,102.8777161,101.8889378
2025/3/30,113.8224206,102.1290274,102.4309382
2025/3/31,114.9356781,102.4587795,103.6288814
2025/4/1,114.2521695,102.519922,102.6950717
2025/4/2,114.4766018,101.6811825,102.35627
2025/4/3,116.8692647,101.8517149,101.8611844
2025/4/4,116.8597997,102.8301841,102.9876655
2025/4/5,114.7885269,101.0764104,103.8573058
2025/4/6,113.9179805,100.3920859,106.4041836
2025/4/7,115.0871592,100.512056,106.127246
2025/4/8,115.1934831,101.0553028,105.9057743
2025/4/9,109.9617641,99.21388935,107.2521028
2025/4/10,108.7883533,99.48991819,109.1649034
2025/4/11,108.8162886,99.67366738,106.5097777
2025/4/12,109.6740434,98.31752495,106.7132693
2025/4/13,112.3083237,98.92000888,106.7102698
2025/4/14,114.9415382,99.14204481,104.6894816
2025/4/15,114.2511868,99.00494979,104.2927677
2025/4/16,114.6225972,98.81713099,105.3299419
2025/4/17,111.5625938,98.48759533,105.7045179
2025/4/18,109.2544216,96.74634426,104.9316129
2025/4/19,107.9951264,95.72915422,102.0713806
2025/4/20,107.6923089,94.87676752,101.0749516
2025/4/21,104.6254079,94.75587497,99.50754146
2025/4/22,104.4458565,93.54031469,96.3594014
2025/4/23,105.7710814,95.8466893,98.19264713
2025/4/24,103.3994272,94.31132637,94.07094173
2025/4/25,102.9657057,94.15511566,95.55654868
2025/4/26,104.0012736,94.76683942,98.37194893
2025/4/27,105.0738204,94.75415374,98.14499377
2025/4/28,104.8184853,92.83168897,99.26659526
2025/4/29,105.224869,92.57728601,98.73280175
2025/4/30,106.2411797,92.16661837,101.7965015
2025/5/1,105.1798306,90.84333491,100.8277967
2025/5/2,103.0647991,90.85084715,100.6476248
2025/5/3,102.7991968,90.878935,100.0757561
2025/5/4,101.8412543,91.45651145,99.9473224
2025/5/5,102.3977349,92.37640316,100.2497329
2025/5/6,101.5613399,92.21198559,97.21800528
2025/5/7,100.7622124,92.33337036,99.11024563
2025/5/8,99.10118791,94.49275891,98.52350911
2025/5/9,98.80679329,94.55291149,97.99286257
2025/5/10,95.56926699,93.20359302,96.46406688
2025/5/11,95.06961664,93.72909076,99.09262763
2025/5/12,96.42327066,93.50485977,98.19657293
2025/5/13,97.08166083,93.65312843,97.61312521
2025/5/14,94.315586,92.77503059,95.52013444
2025/5/15,94.34720494,91.723107,94.49952002
2025/5/16,93.22902767,90.87469677,94.83632339
2025/5/17,92.32265838,92.05671341,93.70178041
2025/5/18,93.27635476,90.58628203,97.06492178
2025/5/19,92.7525993,90.67044318,96.89495298
2025/5/20,93.35484661,90.1943039,97.54272705
2025/5/21,93.51082809,90.27022828,94.91415456
2025/5/22,90.81624942,89.02229619,92.50980342
